cnpj,legal_name,trade_name,status,opening_date,main_cnae_code,main_cnae_description,secondary_cnaes,legal_nature,size,establishment_type,street_type,street,number,complement,district,city,state,zip_code,email,phone,capital_social,partners,source_name,source_url,legal_basis
11.222.333/0001-81,NOVA PILHA TECNOLOGIA LTDA,NOVA PILHA,Ativa,2022-03-14,6201501,Desenvolvimento de programas de computador sob encomenda,6202300,Sociedade Empresaria Limitada,EPP,Matriz,Rua,Alameda dos Devs,140,Sala 701,Centro,Sao Paulo,SP,01001000,contato@novapilha.com.br,(11) 4002-1200,350000,"Marina Souza|Socio administrador|2022-03-14;Rafael Lima|Socio|2022-03-14",Amostra interna ficticia,data/samples/companies.csv,Legitimo interesse B2B para avaliacao interna
22.333.444/0001-81,CLINICA ORBITA SAUDE LTDA,ORBITA SAUDE,Ativa,2021-08-09,8630503,Atividade medica ambulatorial restrita a consultas,8630501,Sociedade Simples Limitada,ME,Matriz,Avenida,Santa Clara,902,,Funcionarios,Belo Horizonte,MG,30140000,atendimento@orbitasaude.com.br,(31) 3300-4411,120000,"Helena Prado|Administradora|2021-08-09",Amostra interna ficticia,data/samples/companies.csv,Legitimo interesse B2B para avaliacao interna
33.444.555/0001-81,BRISA LOG TRANSPORTES LTDA,BRISA LOG,Ativa,2017-11-20,4930202,Transporte rodoviario de carga,5211799,Sociedade Empresaria Limitada,DEMAIS,Matriz,Rodovia,BR 040 KM 12,500,Galpao 3,Distrito Industrial,Contagem,MG,32210000,operacoes@brisalog.com.br,(31) 3500-8810,1800000,"Carlos Amaral|Socio administrador|2017-11-20",Amostra interna ficticia,data/samples/companies.csv,Legitimo interesse B2B para avaliacao interna
44.555.666/0001-81,ATELIE NORTE COMERCIO DE ROUPAS LTDA,ATELIE NORTE,Ativa,2023-01-18,4781400,Comercio varejista de artigos do vestuario e acessorios,4772500,Empresario Individual,ME,Matriz,Rua,das Palmeiras,78,Loja 2,Adrianopolis,Manaus,AM,69057000,vendas@atelienorte.com.br,(92) 3200-2233,45000,"Bianca Nunes|Titular|2023-01-18",Amostra interna ficticia,data/samples/companies.csv,Legitimo interesse B2B para avaliacao interna
55.666.777/0001-81,CURVA CERTA CONSULTORIA EMPRESARIAL LTDA,CURVA CERTA,Ativa,2019-05-03,7020400,Atividades de consultoria em gestao empresarial,7319002,Sociedade Empresaria Limitada,EPP,Matriz,Avenida,Sete de Setembro,1100,Conjunto 404,Batel,Curitiba,PR,80240000,contato@curvacerta.com.br,(41) 3100-8888,250000,"Thiago Duarte|Socio administrador|2019-05-03;Luiza Martins|Socia|2020-02-01",Amostra interna ficticia,data/samples/companies.csv,Legitimo interesse B2B para avaliacao interna
66.777.888/0001-81,FARO EDUCACAO PROFISSIONAL LTDA,FARO EDUCACAO,Ativa,2020-09-22,8599604,Treinamento em desenvolvimento profissional e gerencial,8550302,Sociedade Empresaria Limitada,ME,Matriz,Rua,Professor Moraes,45,,Savassi,Belo Horizonte,MG,30150000,secretaria@faroeducacao.com.br,(31) 3400-7755,90000,"Paulo Reis|Socio administrador|2020-09-22",Amostra interna ficticia,data/samples/companies.csv,Legitimo interesse B2B para avaliacao interna
77.888.999/0001-81,PRISMA FIN SERVICOS FINANCEIROS LTDA,PRISMA FIN,Ativa,2016-02-12,6619302,Correspondentes de instituicoes financeiras,6619305,Sociedade Empresaria Limitada,DEMAIS,Matriz,Avenida,Paulista,171,Andar 12,Bela Vista,Sao Paulo,SP,01311000,comercial@prismafin.com.br,(11) 3100-2200,2200000,"Renata Alves|Socia administradora|2016-02-12",Amostra interna ficticia,data/samples/companies.csv,Legitimo interesse B2B para avaliacao interna
88.999.000/0001-98,VERDE OBRA CONSTRUCOES LTDA,VERDE OBRA,Ativa,2018-07-30,4120400,Construcao de edificios,4330404,Sociedade Empresaria Limitada,EPP,Matriz,Rua,Joao Negrini,300,,Vila Nova,Campinas,SP,13073000,engenharia@verdeobra.com.br,(19) 3301-4500,780000,"Daniel Correa|Socio administrador|2018-07-30",Amostra interna ficticia,data/samples/companies.csv,Legitimo interesse B2B para avaliacao interna
90.111.222/0001-74,SOLARIS ENERGIA COMERCIO LTDA,SOLARIS ENERGIA,Ativa,2024-04-10,4742300,Comercio varejista de material eletrico,4321500,Sociedade Empresaria Limitada,ME,Matriz,Avenida,Beira Mar,880,Sala 12,Centro,Florianopolis,SC,88015000,info@solarisenergia.com.br,(48) 3200-9870,150000,"Icaro Campos|Socio administrador|2024-04-10",Amostra interna ficticia,data/samples/companies.csv,Legitimo interesse B2B para avaliacao interna
01.222.333/0001-28,MESA RAIZ ALIMENTOS LTDA,MESA RAIZ,Ativa,2022-12-01,5611201,Restaurantes e similares,5620104,Sociedade Empresaria Limitada,ME,Matriz,Rua,do Mercado,55,,Centro,Recife,PE,50030000,reservas@mesaraiz.com.br,(81) 3300-5656,60000,"Aline Costa|Socia administradora|2022-12-01",Amostra interna ficticia,data/samples/companies.csv,Legitimo interesse B2B para avaliacao interna
